index,name,url
1,怎样面对痛苦,https://youtu.be/DNq3Yo4XjoU
2,金钱，到底有多值钱,https://youtu.be/ihRGotZJAi4
3,问佛陀情为何物,https://youtu.be/yVZ5suFX9to
4,幸福的根本是心,https://youtu.be/DCnrJLGLBUE
5,科技发达时代的佛法教育,https://youtu.be/xgblST2L8Pw
6,佛法的生命科学观,https://youtu.be/ubpDUC2nwho
7,来世生命与往生净土,https://youtu.be/POTlg6tVLYA
8,信心是最好的财富,https://youtu.be/NKcGV7HYdRw
9,初学者不应视师如佛,https://youtu.be/QnLM8fjcDJU
10,有十种事情不能做,https://youtu.be/LQMHNcDRock
11,略说忏罪,https://youtu.be/Qyx7kV03e5Y
12,让你重新认识佛教,https://youtu.be/7n34MeAgaBs
13,怎么样学佛,https://youtu.be/Mo9VBF8ElXA
14,佛教的未来需要你我,https://youtu.be/BupE7K0cjwo
15,如何寻找大乘的方向,https://youtu.be/hXRwmGnoYr8
16,三殊胜,https://youtu.be/a_5Wg2O5Obc
17,再谈放生,https://youtu.be/66dgJJKm0N4
18,为临终者献爱心,https://youtu.be/dToZYGd3OXU
19,以佛法利益亡者,https://youtu.be/duV3Dd_3q3k
20,观音心咒之功德,https://youtu.be/4GDAXkaBRgA
21,什么是密宗,https://youtu.be/DZzwxba_riE
22,胜利道歌讲记1,https://youtu.be/6N2hb8GVt6Y
23,胜利道歌讲记2,https://youtu.be/6QxJmg_Bp3M
